Bust/Chest,Height,Weight,Waist,Hips,Body Shape Index
40.0,73.0,85.0,30.0,31.0,3.0
44.0,63.0,77.0,36.0,42.0,4.0
38.0,76.0,74.0,48.0,49.0,4.0
35.0,59.0,47.0,39.0,41.0,0.0
37.0,76.0,88.0,48.0,49.0,3.0
48.0,76.0,110.0,30.0,34.0,4.0
40.0,77.0,110.0,32.0,41.0,1.0
41.0,65.0,64.0,32.0,42.0,3.0
42.0,68.0,83.0,31.0,37.0,2.0
31.0,77.0,85.0,44.0,44.0,1.0
37.0,64.0,53.0,32.0,34.0,3.0
48.0,66.0,71.0,35.0,37.0,0.0
41.0,77.0,79.0,42.0,46.0,1.0
33.0,73.0,82.0,42.0,50.0,1.0
43.0,73.0,81.0,40.0,40.0,3.0
34.0,68.0,89.0,35.0,35.0,3.0
40.0,63.0,76.0,47.0,49.0,1.0
43.0,60.0,45.0,36.0,39.0,0.0
50.0,75.0,94.0,43.0,46.0,2.0
38.0,77.0,78.0,26.0,26.0,3.0
50.0,77.0,112.0,31.0,40.0,3.0
35.0,74.0,100.0,32.0,41.0,1.0
35.0,65.0,51.0,31.0,33.0,2.0
46.0,73.0,72.0,46.0,50.0,2.0
31.0,72.0,93.0,36.0,42.0,3.0
31.0,74.0,89.0,42.0,46.0,4.0
40.0,64.0,79.0,30.0,39.0,4.0
32.0,71.0,72.0,32.0,36.0,2.0
36.0,66.0,76.0,44.0,50.0,2.0
30.0,76.0,92.0,39.0,49.0,0.0
48.0,77.0,101.0,26.0,32.0,1.0
31.0,59.0,53.0,41.0,49.0,0.0
52.0,72.0,70.0,34.0,41.0,2.0
41.0,64.0,73.0,34.0,43.0,0.0
39.0,75.0,81.0,42.0,46.0,1.0
50.0,65.0,63.0,28.0,32.0,2.0
43.0,68.0,83.0,33.0,38.0,2.0
41.0,73.0,86.0,43.0,48.0,0.0
52.0,59.0,67.0,26.0,29.0,2.0
45.0,68.0,68.0,41.0,41.0,4.0
32.0,68.0,55.0,36.0,43.0,2.0
51.0,71.0,96.0,34.0,35.0,4.0
49.0,76.0,84.0,42.0,50.0,4.0
32.0,67.0,80.0,27.0,37.0,4.0
35.0,67.0,65.0,39.0,46.0,3.0
42.0,71.0,76.0,48.0,49.0,4.0
31.0,69.0,87.0,48.0,50.0,2.0
32.0,77.0,80.0,40.0,50.0,0.0
32.0,63.0,47.0,36.0,41.0,1.0
40.0,76.0,73.0,31.0,31.0,1.0
50.0,64.0,66.0,42.0,42.0,2.0
50.0,60.0,65.0,37.0,45.0,0.0
31.0,73.0,65.0,38.0,46.0,3.0
44.0,62.0,64.0,37.0,39.0,3.0
48.0,66.0,78.0,29.0,31.0,2.0
48.0,75.0,99.0,43.0,48.0,2.0
43.0,76.0,86.0,44.0,45.0,4.0
36.0,75.0,90.0,26.0,30.0,3.0
31.0,65.0,81.0,37.0,42.0,1.0
43.0,62.0,63.0,28.0,31.0,3.0
46.0,63.0,64.0,32.0,38.0,1.0
35.0,65.0,51.0,32.0,32.0,0.0
39.0,71.0,61.0,36.0,41.0,4.0
51.0,67.0,70.0,31.0,37.0,3.0
42.0,75.0,76.0,27.0,36.0,1.0
32.0,62.0,58.0,39.0,43.0,2.0
35.0,62.0,66.0,35.0,37.0,4.0
45.0,76.0,83.0,36.0,45.0,1.0
43.0,60.0,62.0,46.0,49.0,4.0
41.0,60.0,43.0,26.0,26.0,2.0
44.0,78.0,87.0,42.0,45.0,4.0
33.0,66.0,82.0,26.0,30.0,1.0
39.0,59.0,45.0,37.0,37.0,3.0
47.0,58.0,59.0,36.0,43.0,2.0
34.0,67.0,68.0,38.0,45.0,3.0
40.0,67.0,74.0,46.0,49.0,4.0
32.0,66.0,67.0,41.0,49.0,4.0
52.0,70.0,78.0,38.0,46.0,0.0
