Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Female,"5'1""",67,37,E,35,38,4
Female,"6'4""",97,37,E,28,34,0
Female,"5'9""",70,33,DD,23,23,0
Female,"5'1""",59,41,D,25,26,0
Female,"5'11""",92,42,DD,24,26,4
Female,"5'11""",77,46,AA,24,33,0
Female,"6'0""",77,46,AA,38,43,2
Female,"4'11""",45,30,C,30,30,4
Female,"5'4""",79,29,A,40,46,3
Female,"5'5""",70,41,E,41,46,1
Female,"5'9""",87,40,E,35,36,4
Female,"4'11""",45,35,D,36,46,1
Female,"5'9""",90,38,D,23,28,1
Female,"5'4""",54,33,E,33,36,4
Female,"6'6""",113,47,B,33,37,2
Female,"6'6""",117,29,E,25,25,3
Female,"5'1""",68,29,C,29,39,4
Female,"4'11""",52,41,C,28,37,1
Female,"6'2""",101,42,D,29,33,1
Female,"5'7""",61,45,C,41,48,1
Female,"4'11""",58,31,A,30,32,1
Female,"5'11""",60,43,C,30,34,3
Female,"6'6""",105,45,B,30,31,4
Female,"5'0""",55,43,C,35,44,3
Female,"5'8""",58,41,F,23,25,1
Female,"5'5""",60,33,A,27,29,3
Female,"5'9""",69,44,E,38,45,4
Female,"5'6""",80,34,F,33,35,3
Female,"6'4""",86,41,DD,25,27,2
Female,"5'3""",65,36,D,34,35,3
Female,"5'5""",55,34,A,39,47,3
Female,"6'3""",81,38,AA,23,24,1
Female,"5'7""",66,36,E,36,41,2
Female,"5'6""",67,33,E,40,40,4
Female,"5'5""",56,34,D,32,34,4
Female,"5'4""",60,41,F,40,50,1
Female,"6'6""",103,34,D,30,40,2
Female,"6'5""",73,35,B,38,39,3
Female,"4'11""",66,36,A,26,33,0
Female,"5'1""",71,37,DD,40,50,0
Female,"5'0""",45,38,DD,23,28,2
Female,"5'7""",64,32,AA,33,36,3
Female,"5'6""",72,28,F,36,42,1
Female,"5'10""",83,35,DD,22,22,3
Female,"5'10""",78,36,F,24,33,4
Female,"5'7""",77,31,C,42,46,2
Female,"6'1""",67,28,A,25,28,1
Female,"5'8""",70,29,D,32,35,2
Female,"6'6""",104,40,DD,34,44,0
Female,"6'2""",100,36,DD,39,40,4
Female,"5'2""",52,32,C,36,46,4
Female,"5'8""",84,31,A,35,37,2
Female,"6'0""",77,36,F,27,35,3
Female,"5'6""",73,48,D,42,42,4
Female,"5'9""",76,45,A,38,44,4
Female,"6'6""",118,39,A,36,39,2
Female,"5'6""",59,31,A,27,31,4
Female,"5'7""",56,34,AA,31,38,1
Female,"6'1""",79,37,AA,37,40,3
Female,"5'8""",71,48,F,24,30,4
Female,"5'3""",74,35,D,39,48,0
Female,"5'7""",54,42,B,35,36,4
Female,"5'4""",71,34,F,27,35,2
Female,"6'5""",72,43,AA,32,42,2
Female,"5'11""",64,38,F,29,33,2
Female,"6'1""",65,43,D,38,45,1
Female,"5'1""",49,43,A,36,44,4
Female,"5'3""",59,47,AA,30,34,4
Female,"5'10""",79,33,A,22,23,3
Female,"5'11""",93,36,E,37,43,1
Female,"5'6""",69,35,B,24,33,3
Female,"5'3""",76,28,B,30,32,1
Female,"6'1""",103,37,D,32,38,3
Female,"5'3""",65,43,D,40,49,2
Female,"5'10""",95,28,E,22,30,3
Female,"4'10""",41,31,C,30,38,0
Female,"4'11""",56,35,A,27,28,1
Female,"5'5""",78,46,AA,29,39,4
Female,"4'10""",41,36,F,33,37,3
Female,"5'9""",89,37,C,22,31,4
Female,"5'11""",85,46,F,41,45,3
Female,"5'10""",59,39,A,30,37,1
Female,"5'8""",62,28,DD,27,31,0
Female,"6'3""",106,48,E,39,43,1
Female,"4'10""",63,38,DD,39,48,1
Female,"6'2""",69,33,AA,32,41,1
Female,"6'1""",98,40,F,38,45,3
Female,"6'0""",92,31,DD,34,38,2
Female,"5'5""",51,40,DD,36,45,3
Female,"6'4""",81,43,AA,26,32,2
Female,"5'11""",79,46,DD,23,33,2
Female,"4'11""",48,38,A,38,47,2
Female,"5'6""",69,44,F,39,44,0
Female,"5'2""",64,40,C,30,31,2
Female,"5'7""",63,38,D,23,32,1
Female,"5'7""",69,41,AA,36,36,0
Female,"4'11""",66,40,B,24,27,4
Female,"5'6""",73,47,C,36,38,4
Female,"5'10""",90,33,A,39,49,2
Female,"5'9""",80,28,C,36,45,4
Female,"5'3""",54,34,D,23,25,0
Female,"5'10""",72,44,F,23,29,0
Female,"5'0""",57,43,DD,26,30,4
Female,"5'1""",60,28,D,33,33,4
