Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Male,"6'1""",85,40,,30,31,3
Male,"5'3""",77,44,,36,42,4
Male,"6'4""",74,38,,48,49,4
Male,"4'11""",47,35,,39,41,0
Male,"6'4""",88,37,,48,49,3
Male,"6'4""",110,48,,30,34,4
Male,"6'5""",110,40,,32,41,1
Male,"5'5""",64,41,,32,42,3
Male,"5'8""",83,42,,31,37,2
Male,"6'5""",85,31,,44,44,1
Male,"5'4""",53,37,,32,34,3
Male,"5'6""",71,48,,35,37,0
Male,"6'5""",79,41,,42,46,1
Male,"6'1""",82,33,,42,50,1
Male,"6'1""",81,43,,40,40,3
Male,"5'8""",89,34,,35,35,3
Male,"5'3""",76,40,,47,49,1
Male,"5'0""",45,43,,36,39,0
Male,"6'3""",94,50,,43,46,2
Male,"6'5""",78,38,,26,26,3
Male,"6'5""",112,50,,31,40,3
Male,"6'2""",100,35,,32,41,1
Male,"5'5""",51,35,,31,33,2
Male,"6'1""",72,46,,46,50,2
Male,"6'0""",93,31,,36,42,3
Male,"6'2""",89,31,,42,46,4
Male,"5'4""",79,40,,30,39,4
Male,"5'11""",72,32,,32,36,2
Male,"5'6""",76,36,,44,50,2
Male,"6'4""",92,30,,39,49,0
Male,"6'5""",101,48,,26,32,1
Male,"4'11""",53,31,,41,49,0
Male,"6'0""",70,52,,34,41,2
Male,"5'4""",73,41,,34,43,0
Male,"6'3""",81,39,,42,46,1
Male,"5'5""",63,50,,28,32,2
Male,"5'8""",83,43,,33,38,2
Male,"6'1""",86,41,,43,48,0
Male,"4'11""",67,52,,26,29,2
Male,"5'8""",68,45,,41,41,4
Male,"5'8""",55,32,,36,43,2
Male,"5'11""",96,51,,34,35,4
Male,"6'4""",84,49,,42,50,4
Male,"5'7""",80,32,,27,37,4
Male,"5'7""",65,35,,39,46,3
Male,"5'11""",76,42,,48,49,4
Male,"5'9""",87,31,,48,50,2
Male,"6'5""",80,32,,40,50,0
Male,"5'3""",47,32,,36,41,1
Male,"6'4""",73,40,,31,31,1
